date,avg_temp, wind_sp,relHum,max_temp,min_temp
20220103,6.3,18.7,99,10.8,1.9
20220118,-0.7,4.8,93,2.6,-4.0
20220323,8.9,7.5,82,19.8,-1.9
20220324,8.5,4.3,80,17.4,-0.4
20220510,15.9,6.4,85,23.5,8.4
20220511,18.4,14.2,89,27.2,9.6
20220518,14.2,4.8,93,19.8,8.7
20220519,14.7,4.8,92,24.3,5.1
20220612,20.8,6.4,88,28.4,13.3
20220619,18.5,8.3,92,26.4,10.7
20220620,22.3,12.9,95,28.4,16.3
20220627,20.6,9.7,91,23.6,17.6
20220721,16.8,11.0,88,21.8,11.8
20220722,27.2,7.0,78,33.5,20.9
20220815,22.5,9.5,97,28.6,16.4
20220830,19.0,3.2,92,24.6,13.4
20220907,19.5,3.7,93,25.7,13.3
20220908,20.4,8.0,98,26.9,13.9
20220923,9.4,1.6,96,15.5,3.4
20221009,12.8,2.9,99,14.3,6.3
20221018,12.9,7.4,97,19.3,6.6

